open_time,open,high,low,close,volume
1700349200000,60912.70,61024.47,60832.70,60944.47,142.00
1700352800000,61061.62,61179.59,60981.62,61099.59,145.50
1700356400000,61184.12,61304.12,61104.12,61224.12,149.00
1700360000000,61279.80,61397.42,61199.80,61317.42,152.50
1700363600000,61348.48,61459.59,61268.48,61379.59,156.00
1700367200000,61390.27,61491.43,61310.27,61411.43,100.00
1700370800000,61405.57,61494.46,61325.57,61414.46,103.50
1700374400000,61395.23,61475.23,61310.87,61390.87,107.00
1700378000000,61360.56,61440.56,61263.44,61343.44,110.50
1700381600000,61303.52,61383.52,61195.51,61275.51,114.00
1700385200000,61226.73,61306.73,61110.91,61190.91,117.50
1700388800000,61133.52,61213.52,61013.85,61093.85,121.00
1700392400000,61027.99,61107.99,60908.83,60988.83,124.50
1700396000000,60914.90,60994.90,60800.55,60880.55,128.00
1700399600000,60799.58,60879.58,60693.83,60773.83,131.50
1700403200000,60687.77,60767.77,60593.46,60673.46,135.00
1700406800000,60585.41,60665.41,60504.12,60584.12,138.50
1700410400000,60498.41,60590.26,60418.41,60510.26,142.00
1700414000000,60432.35,60536.05,60352.35,60456.05,145.50
1700417600000,60392.28,60505.22,60312.28,60425.22,149.00
1700421200000,60382.48,60501.03,60302.48,60421.03,152.50
1700424800000,60406.25,60526.17,60326.25,60446.17,156.00
1700428400000,60465.79,60582.68,60385.79,60502.68,100.00
1700432000000,60562.17,60671.98,60482.17,60591.98,103.50
1700435600000,60695.28,60794.71,60615.28,60714.71,107.00
1700439200000,60863.92,60950.84,60783.92,60870.84,110.50
1700442800000,61065.92,61145.92,60979.57,61059.57,114.00
1700446400000,61298.30,61378.30,61199.38,61279.38,117.50
1700450000000,61557.46,61637.46,61448.05,61528.05,121.00
1700453600000,61839.35,61919.35,61722.69,61802.69,124.50
1700457200000,62139.68,62219.68,62019.80,62099.80,128.00
1700460800000,62454.04,62534.04,62335.34,62415.34,131.50
1700464400000,62778.07,62858.07,62664.79,62744.79,135.00
1700468000000,63107.45,63187.45,63003.27,63083.27,138.50
1700471600000,63438.01,63518.01,63345.60,63425.60,142.00
1700475200000,63765.69,63846.40,63685.69,63766.40,145.50
1700478800000,64086.47,64180.23,64006.47,64100.23,149.00
1700482400000,64396.38,64501.67,64316.38,64421.67,152.50
1700486000000,64691.39,64805.43,64611.39,64725.43,156.00
1700489600000,64967.42,65086.46,64887.42,65006.46,100.00
1700493200000,65220.31,65340.05,65140.31,65260.05,103.50
1700496800000,65445.85,65561.93,65365.85,65481.93,107.00
1700500400000,65639.88,65748.31,65559.88,65668.31,110.50
1700504000000,65798.39,65896.05,65718.39,65816.05,114.00
1700507600000,65917.66,66002.61,65837.66,65922.61,117.50
1700511200000,65994.50,66074.50,65906.19,65986.19,121.00
1700514800000,66026.38,66106.38,65925.72,66005.72,124.50
1700518400000,66011.62,66091.62,65900.89,65980.89,128.00
1700522000000,65949.60,66029.60,65832.18,65912.18,131.50
1700525600000,65840.80,65920.80,65720.82,65800.82,135.00
1700529200000,65686.91,65766.91,65568.76,65648.76,138.50
1700532800000,65490.79,65570.79,65378.68,65458.68,142.00
1700536400000,65256.44,65336.44,65153.89,65233.89,145.50
1700540000000,64988.79,65068.79,64898.30,64978.30,149.00
1700543600000,64693.59,64776.30,64613.59,64696.30,152.50
1700547200000,64377.10,64472.72,64297.10,64392.72,156.00
1700550800000,64045.90,64152.71,63965.90,64072.71,100.00
1700554400000,63706.59,63821.64,63626.59,63741.64,103.50
1700558000000,63365.57,63485.00,63285.57,63405.00,107.00
1700561600000,63028.83,63148.29,62948.83,63068.29,110.50
1700565200000,62701.77,62816.93,62621.77,62736.93,114.00
1700568800000,62389.14,62496.12,62309.14,62416.12,117.50
1700572400000,62094.93,62190.77,62014.93,62110.77,121.00
1700576000000,61822.44,61905.38,61742.44,61825.38,124.50
1700579600000,61574.26,61654.26,61483.99,61563.99,128.00
1700583200000,61352.42,61432.42,61250.07,61330.07,131.50
1700586800000,61158.44,61238.44,61046.46,61126.46,135.00
1700590400000,60993.44,61073.44,60875.36,60955.36,138.50
1700594000000,60858.21,60938.21,60738.22,60818.22,142.00
1700597600000,60753.28,60833.28,60635.78,60715.78,145.50
1700601200000,60678.92,60758.92,60568.04,60648.04,149.00
1700604800000,60635.11,60715.11,60534.25,60614.25,152.50
1700608400000,60621.52,60701.52,60532.97,60612.97,156.00
1700612000000,60637.36,60722.07,60557.36,60642.07,100.00
1700615600000,60681.35,60778.80,60601.35,60698.80,103.50
1700619200000,60751.59,60859.85,60671.59,60779.85,107.00
1700622800000,60845.46,60961.43,60765.46,60881.43,110.50
1700626400000,60959.62,61079.34,60879.62,60999.34,114.00
1700630000000,61089.98,61209.07,61009.98,61129.07,117.50
1700633600000,61231.76,61345.92,61151.76,61265.92,121.00
1700637200000,61379.60,61485.07,61299.60,61405.07,124.50
1700640800000,61527.72,61621.69,61447.72,61541.69,128.00
1700644400000,61670.13,61751.08,61590.13,61671.08,131.50
1700648000000,61800.91,61880.91,61708.71,61788.71,135.00
1700651600000,61914.39,61994.39,61810.41,61890.41,138.50
1700655200000,62005.48,62085.48,61892.34,61972.34,142.00
1700658800000,62069.85,62149.85,61951.20,62031.20,145.50
1700662400000,62104.12,62184.12,61984.22,62064.22,149.00
1700666000000,62105.99,62185.99,61989.24,62069.24,152.50
1700669600000,62074.34,62154.34,61964.77,62044.77,156.00
1700673200000,62009.17,62089.17,61910.04,61990.04,100.00
1700676800000,61911.55,61991.55,61824.97,61904.97,103.50
1700680400000,61783.54,61870.24,61703.54,61790.24,107.00
1700684000000,61627.99,61727.22,61547.99,61647.22,110.50
1700687600000,61448.34,61557.98,61368.34,61477.98,114.00
1700691200000,61248.47,61365.27,61168.47,61285.27,117.50
1700694800000,61032.50,61152.41,60952.50,61072.41,121.00
1700698400000,60804.65,60923.27,60724.65,60843.27,124.50
1700702000000,60569.11,60682.18,60489.11,60602.18,128.00
1700705600000,60329.95,60433.84,60249.95,60353.84,131.50
1700709200000,60091.16,60183.24,60011.16,60103.24,135.00
1700712800000,59856.60,59936.60,59775.54,59855.54,138.50
1700716400000,59630.05,59710.05,59535.97,59615.97,142.00
1700720000000,59415.29,59495.29,59309.73,59389.73,145.50
1700723600000,59216.11,59296.11,59101.89,59181.89,149.00
1700727200000,59036.38,59116.38,58917.27,58997.27,152.50
1700730800000,58880.05,58960.05,58760.35,58840.35,156.00
1700734400000,58751.09,58831.09,58635.17,58715.17,100.00
1700738000000,58653.45,58733.45,58545.27,58625.27,103.50
1700741600000,58590.92,58670.92,58493.58,58573.58,107.00
1700745200000,58566.96,58646.96,58482.37,58562.37,110.50
1700748800000,58584.56,58673.22,58504.56,58593.22,114.00
1700752400000,58646.01,58746.97,58566.01,58666.97,117.50
1700756000000,58752.73,58863.69,58672.73,58783.69,121.00
1700759600000,58905.14,59022.68,58825.14,58942.68,124.50
1700763200000,59102.50,59222.49,59022.50,59142.49,128.00
1700766800000,59342.90,59460.95,59262.90,59380.95,131.50
1700770400000,59623.27,59735.17,59543.27,59655.17,135.00
1700774000000,59939.39,60041.65,59859.39,59961.65,138.50
1700777600000,60286.14,60376.29,60206.14,60296.29,142.00
1700781200000,60657.58,60737.58,60574.51,60654.51,145.50
1700784800000,61047.27,61127.27,60951.32,61031.32,149.00
1700788400000,61448.49,61528.49,61341.42,61421.42,152.50
1700792000000,61854.49,61934.49,61739.27,61819.27,156.00
1700795600000,62258.75,62338.75,62139.27,62219.27,100.00
1700799200000,62655.19,62735.19,62535.78,62615.78,103.50
1700802800000,63038.28,63118.28,62923.29,63003.29,107.00
1700806400000,63403.23,63483.23,63296.51,63376.51,110.50
1700810000000,63745.95,63825.95,63650.44,63730.44,114.00
1700813600000,64063.10,64143.10,63980.51,64060.51,117.50
1700817200000,64352.03,64442.64,64272.03,64362.64,121.00
1700820800000,64610.67,64713.32,64530.67,64633.32,124.50
1700824400000,64837.48,64949.67,64757.48,64869.67,128.00
1700828000000,65031.31,65149.50,64951.31,65069.50,131.50
1700831600000,65191.37,65311.35,65111.37,65231.35,135.00
1700835200000,65317.12,65434.49,65237.12,65354.49,138.50
1700838800000,65408.31,65518.97,65328.31,65438.97,142.00
1700842400000,65464.99,65565.55,65384.99,65485.55,145.50
1700846000000,65487.54,65575.74,65407.54,65495.74,149.00
1700849600000,65476.79,65556.79,65391.73,65471.73,152.50
1700853200000,65434.09,65514.09,65336.33,65416.33,156.00
1700856800000,65361.45,65441.45,65252.93,65332.93,100.00
1700860400000,65261.56,65341.56,65145.44,65225.44,103.50
